genre,director,counts
action,1,14
adventure,Brian A. Miller,3
and culture,Jay Chapman,34
animation,Arthur van Merwijk,28
anime,Shinpei Miyashita,6
arthouse,Percy Adlon,4
arts,Jay Chapman,34
comedy,Jay Chapman,34
documentary,Mark Knight,24
drama,William Wyler,10
entertainment,Jay Chapman,34
faith and spirituality,Mark Knight,4
fantasy,Jim Henson,2
fitness,Mark Knight,16
historical,Alex Turner,1
horror,D.J. Viola,19
international,Yash Chopra,8
kids,Cannis Holder,62
lgbtq,Doug Spearman,2
military and war,Frank Borzage,2
music videos and concerts,Baeble Music,12
romance,William Wyler,9
science fiction,Noriaki Yuasa,7
special interest,Mark Knight,109
sports,Bruce Legg,6
suspense,Doug Campbell,9
talk show and variety,Kyle Clark,1
unscripted,Felipe Bretas,1
western,John English,19
young adult audience,Blair Treu,2
